L0,L1,L2,Graph
1.0,-0.29305106,,
0.8506378,0.8255506,,
-0.70572907,-0.56174326,,
-0.68095684,0.512321,,
-0.06685254,0.35005653,,
0.01299043,-0.48654088,,
0.5691508,-0.12180282,,
0.5281971,0.40742892,,
0.5431782,0.6892452,,
0.64641774,-0.08477184,,
-0.045803457,0.94041854,,
0.43881077,-0.6117886,,
-0.77192616,-0.99682003,,
0.19557491,-0.07134682,,
-0.34664637,-0.012471378,,
0.4087638,0.73943055,,
-0.8652309,-0.10676381,,
0.37407696,0.07685697,,
0.76687294,0.56526417,,
-0.43543622,-0.1743918,,
-0.48584253,-0.30105847,,
0.70614713,0.7883589,,
-0.2838115,-0.6295523,,
0.18133484,1.0,,
-1.0,-0.3341664,,
-0.7621869,0.51517004,,
-0.5874494,-0.338056,,
0.3339422,0.9013103,,
0.28999057,-0.5336952,,
-0.0077325106,0.20072795,,
-0.15227294,0.5503259,,
0.70221317,0.404724,,
0.031862557,-1.0,,
-0.8101077,-0.8208427,,
-0.6968868,-0.5481717,,
-0.47034255,-0.28544858,,
0.6784643,0.4648611,,
-0.5717364,-0.38661033,,
0.33307743,0.0866985,,
-1.0,1.0,,
-0.17089768,1.0,,
-0.16126801,0.19420084,,
0.2598437,0.46056727,,
0.854352,0.20810415,,
-1.0,-0.4374946,,
-0.7953571,-0.0730477,,
-0.052400947,-0.35812235,,
0.8222466,-0.8154619,,
-0.4761254,0.42130262,,
-0.59014446,0.9331249,,
1.0,0.32880104,,
0.14501391,0.56951755,,
0.5967769,-0.20594987,,
-0.2540613,0.2575433,,
0.9096284,-0.9354294,,
-0.9529225,0.12320003,,
-0.52959734,1.0,,
-0.19734152,-0.21241532,,
-1.0,-1.0,,
0.93536496,-0.52999276,,
-0.9727125,-0.5735951,,
-0.6604745,0.18006024,,
-0.19834346,0.9579289,,
0.8108946,0.7145872,,
0.10178456,-0.45374924,,
-0.11634776,-1.0,,
0.48325214,-0.59984344,,
-0.4116702,-0.38138515,,
-0.99701065,-0.6613164,,
0.08779384,-0.5252755,,
-0.15947749,-0.10457025,,
0.12272766,-0.8873734,,
-0.48058715,-0.56945,,
-0.16962928,-0.14012463,,
-0.07993543,-0.39566922,,
0.18491238,0.45176685,,
-0.6114993,0.7266894,,
-0.22587018,0.48229548,,
0.6997475,-0.16426104,,
-0.8864331,-0.65053135,,
-0.63519406,0.27479708,,
0.33534685,0.87252843,,
-0.50956136,-1.0,,
-1.0,-0.8198129,,
1.0,0.10866906,,
-0.38659438,-1.0,,
0.86349833,-0.7337373,,
-0.871642,-0.2989556,,
0.5541558,0.42916492,,
0.94579786,0.4100879,,
0.15667643,-0.6076285,,
0.52143836,-0.76975703,,
-0.66744196,0.9787872,,
1.0,-1.0,,
-0.88863397,-0.4187789,,
-0.925553,-0.61491245,,
-1.0,-0.069283366,,
-0.64496136,-0.7511321,,
1.0,0.43803853,,
0.28555715,-0.6842931,,
